pt-br,en
"Logo, estará escuro.",It will soon be dark.
Eu conheci essa garota antes.,I have met this girl before.
Onde você esteve a tarde inteira?,Where were you the entire afternoon?
Ele virá está noite?,Will he be coming this evening?
A guerra contra as drogas é uma guerra política.,The war on drugs is a political war.
Ela segurou uma flor na mão.,She held a flower in her hand.
O que meus avós estão fazendo agora?,What are my grandparents doing right now?
"Ela não teve escolha, além de se casar com o homem velho.",She had no other choice but to marry the old man.
Ninguém te seguiu?,Didn't anyone follow you?
Alguém seguiu você?,Didn't anyone follow you?
'Ficção'' é algo que não é real; ela vem da imaginação.,Fiction is something that is not factual; it comes from imagination.
Deus usou uma bela matemática ao criar o mundo.,God used beautiful mathematics in creating the world.
Você sabe cozinhar caranguejo?,Do you know how to cook a crab?
Eu amo te odiar.,I love to hate you.
Muriel acabou de fazer vinte anos.,Muriel just turned twenty.
Muriel fez vinte anos.,Muriel just turned twenty.
Ela deve ter sido linda quando jovem.,She must have been gorgeous when she was young.
De vez em quando jogo vôlei.,I often play volleyball.
Eu jogo muito vôlei.,I play a lot of volleyball.
"Por favor, não adicione comentários.",Please do not add comments.
"Não adicione comentários, por favor.",Please do not add comments.
Eu vou falar com o Tom quando ele chegar em casa.,I'm going to talk to Tom when he gets home.
Eu estou esperando o meu amigo.,I am waiting for my friend.
Vou te escrever na semana que vem.,I will write to you next week.
Eu somente posso esperar.,I can only wait.
Tudo o que queria era te fazer feliz.,All I wanted was to make you happy.
"Estou estudando idiomas. Se você quiser, posso te ajudar. E, se possível, gostaria de que você me ajudasse.",I am studying languages. I can help you if you want me to. And maybe I'd like you to help me.
Não sabemos o que ele fez na festa.,We do not know what she did at the party.
"Tom é uma pessoa honesta, por isso eu gosto dele.",Tom is an honest person. That's why I like him.
"Quando eu tinha dez anos, eu pensava que quando eu tivesse dezesseis anos, minha vida seria legal.","When I was ten years old, I thought that when I would be sixteen, my life would be cool."
"Quando eu tinha dez anos, eu pensava que quando eu tivesse dezesseis anos, minha vida seria legal.","When I was 10 years old, I thought that when I would be 16, my life would be cool."
Ele sabe falar francês e inglês.,He can speak French and English.
Ela quase foi atropelada por um carro.,She was almost run over by a car.
Ele continuou lendo o livro.,He kept on reading the book.
Alice não viu o cachorro.,Alice did not see the dog.
Ele quase explodiu de raiva.,He almost erupted in anger.
O nome de seu irmão é Alexei?,Is your brother's name Alexei?
Toda língua tem o seu planejamento.,Every language has its own design.
Ele gosta de aventuras.,He likes adventures.
Ela está vendendo um chapéu novo.,She is selling a new hat.
Ninguém me apoiou.,No one supported me.
Ele se acostumou a trabalhar duas horas todos os dias no jardim.,He got used to working two hours every day in the garden.
Podemos conversar mais tarde?,Can we talk later?
Você talvez deseje adiar sua viagem a Boston.,You may want to consider postponing your trip to Boston.
Quero que vocês dois se deem bem um com o outro.,I want the two of you to try to get along with each other.
Eu não quero ter de escutar o Tom cantando essa música outra vez.,I don't want to have to listen to Tom sing that song again.
Eu realmente quero dedicar mais tempo aos estudos de francês.,I really do want to devote some more time to studying French.
O Tom não está interessado na Mary e ela não está interessada nele.,Tom isn't interested in Mary and she isn't interested in him.
Eu só acho que o Tom deveria ser capaz de ir aonde ele quisesse.,I just think that Tom should be able to go where he wants to go.
"Se você quer falar, fale.","If you want to talk, talk."
Quero que chame o Tom agora.,I want you to call Tom now.
Urdu é a língua mãe dela.,Urdu is her mother tongue.
O que você ganha é nada perto do salário do chefe.,What you make is small potatoes compared to the boss's salary.
Insanidade significa fazer a mesma coisa inúmeras vezes esperando resultados diferentes.,Insanity means doing the same thing over and over again and expecting different results.
Amanhã é meu aniversário; eu farei 17 anos.,Tomorrow is my birthday; I will be seventeen.
Ela sempre esquece meu número de telefone.,She always forgets my telephone number.
Que horas você foi dormir ontem?,At what time did you go to sleep yesterday?
"O João, me disseram que ele foi morar na Argentina.",They told me João went to live in Argentina.
Eu era feliz.,I was happy.
O Tom parecia feliz.,Tom seemed happy.
O Tom pareceu feliz.,Tom seemed happy.
Estou alegre que você esteja feliz.,I'm glad you're happy.
Eles não parecem felizes.,They don't seem happy.
Eu espero que você dois estejam felizes.,I hope you two are happy.
Eu espero que vocês duas estejam felizes.,I hope you two are happy.
Eu deveria ficar feliz pelo Tom.,I should be happy for Tom.
Você não está feliz de me ver?,Aren't you happy to see me?
Gosto de alegrar as pessoas.,I like to make people happy.
O Tom e a Mary são muito felizes.,Tom and Mary are very happy.
Eles parecem muito felizes juntos.,They look very happy together.
Eu nunca vi o Tom tão feliz.,I have never seen Tom so happy.
Estou feliz em ouvir que você diz isso.,I'm happy to hear you say that.
O Tom e a Mary não são felizes aqui.,Tom and Mary aren't happy here.
"Você não é muito feliz, é?","You're not very happy, are you?"
Tom e Mary são felizes juntos.,Tom and Mary are happy together.
O Tom está feliz viajando sozinho.,Tom is happy traveling by himself.
O Tom e a Mary são muito felizes juntos.,Tom and Mary are very happy together.
O Tom e a Mary estão muito felizes juntos.,Tom and Mary are very happy together.
Há um final feliz para essa história?,Is there a happy ending to this story?
Tom parece feliz com algo.,Tom seems to be happy about something.
Você não sabe o quanto isso me deixa feliz.,You don't know how happy that makes me.
"Você não ficará feliz, não importa o que eu faça.",You won't be happy no matter what I do.
"Agora que tenho uma namorada, estou feliz.","Now that I have a girlfriend, I'm happy."
Tom não ficará feliz com isso.,Tom is not going to be happy about this.
Devemos fazer tudo que podemos para deixar o Tom feliz.,We must do all we can to make Tom happy.
Você merece uma chance para uma vida mais feliz.,You deserve a chance for a happier life.
"Pelo menos, finja que está feliz em estar aqui.",At least pretend you're happy to be here.
"Agora, que você é minha namorada, estou feliz.","Now that you're my girlfriend, I'm happy."
"Tom não está feliz com Mary, no momento.",Tom is not happy with Mary at the moment.
Você não sabe o quão feliz estou em te ver.,You don't know how happy I am to see you.
Você parecia tão feliz algumas horas atrás.,You seemed so happy just a few hours ago.
Acho que vocês seriam muito felizes aqui.,I think you guys would be very happy here.
"Talves, Tom seria mais feliz em outro lugar.",Maybe Tom would be happier somewhere else.
A familia de Tom está feliz que ele voltou para casa.,Tom's family is happy that he's back home.
Não tenho certeza se Tom será feliz.,I'm not sure Tom is ever going to be happy.
Ví uma menininha que era doce e amável.,I saw a little girl who was sweet and happy.
Só estava dizendo o quão feliz vocês dois devem estar.,I was just saying how happy you two must be.
"Talves, você estarria mais feliz em outro serviço.",Perhaps you would be happier in another job.
Tom parece muito mais feliz desde que você apareceu.,Tom seems a lot happier since you showed up.
Você não parece estar feliz com nossa decisão.,You don't seem to be happy with our decision.
Sair para caminhar contigo me deixaria feliz.,Going for a walk with you would make me happy.
Tom parece muito mais feliz após se divorciar.,Tom seems a lot happier since he got divorced.
Obter uma carteira de motorista me deixaria feliz.,Getting a driver's license would make me happy.
Espero que vocês dois sejam tão felizes quanto Mary e eu.,I hope you two will be as happy as Mary and me.
Desejo à vocês dois toda a felicidade do mundo.,I wish you both all the happiness in the world.
Nunca imaginei que ficaria feliz em ouvir sua voz.,I never thought I'd be happy to hear your voice.
"Tom e Mary estão, ambos, felizes que são amigos novamente.",Tom and Mary are both happy to be friends again.
Vejo um grande sorriso em seu rosto. Deve estar feliz.,I see a big smile on your face. You must be happy.
Eu ficaria feliz em falar com o Tom sobre esse problema.,I would be happy to speak to Tom about that matter.
Tom não estava feliz com o jeito que Mary cozinhou seus ovos.,Tom wasn't happy with the way Mary cooked his eggs.
Nada me faria mais feliz do que ver você feliz.,Nothing would make me happier than to see you happy.
O Tom acordou a Mary às 6:30 e ela não ficou feliz com isso.,Tom woke Mary up at 6:30 and she wasn't happy about that.
Eles gostavam de carros grandes.,They liked big cars.
Estou tão surpreso quanto você.,I am as surprised as you.
Você está sempre reclamando!,You're always complaining.
Isso é um sonho?,Is this a dream?
A Mary é linda.,Mary is beautiful.
A Mary é bela.,Mary is beautiful.
A Mary é bonita.,Mary is beautiful.
Você é bonita demais.,You're really beautiful.
Mary é uma linda garota.,Mary is a beautiful girl.
Mary é uma garota bonita.,Mary is a beautiful girl.
Mary é uma bela garota.,Mary is a beautiful girl.
Essa é uma bela foto.,That's a beautiful photo.
Aquela é uma bela foto.,That's a beautiful photo.
Mary é uma bela mulher.,Mary is a beautiful woman.
Mary é uma linda mulher.,Mary is a beautiful woman.
Mary é uma mulher bonita.,Mary is a beautiful woman.
Mary tem cabelos bonitos e compridos.,Mary has beautiful long hair.
"Mary é linda, não é?","Mary is beautiful, isn't she?"
"Mary é bela, não é?","Mary is beautiful, isn't she?"
"Mary é bonita, não é?","Mary is beautiful, isn't she?"
Mary tem lindos olhos castanhos.,Mary has beautiful brown eyes.
A Mary está vestindo um lindo vestido vermelho.,Mary is wearing a beautiful red dress.
A Mary está usando um lindo vestido vermelho.,Mary is wearing a beautiful red dress.
A Mary está vestindo um belo vestido vermelho.,Mary is wearing a beautiful red dress.
A Mary está vestindo um vestido vermelho bonito.,Mary is wearing a beautiful red dress.
Nossa universidade tem um belo campus.,Our university has a beautiful campus.
Você está cada dia mais bonita.,You get more and more beautiful every day.
Você está cada dia mais bonito.,You get more and more beautiful every day.
Você está mais e mais bonita a cada dia.,You get more and more beautiful every day.
Você está mais e mais bonito a cada dia.,You get more and more beautiful every day.
Toda noiva é bonita no dia de seu casamento.,Every bride is beautiful on her wedding day.
O Tom e a Mary estão ocupados.,Tom and Mary are busy.
Você deve estar muito ocupado.,You must be very busy.
Eu tenho certeza de que você está muito ocupado.,I'm sure you're very busy.
Eu tenho certeza de que você está muito ocupada.,I'm sure you're very busy.
Eu tenho certeza de que vocês estão muito ocupados.,I'm sure you're very busy.
Eu tenho certeza de que vocês estão muito ocupadas.,I'm sure you're very busy.
Tenho certeza de que você está muito ocupado.,I'm sure you're very busy.
Tenho certeza de que você está muito ocupada.,I'm sure you're very busy.
Tenho certeza de que vocês estão muito ocupados.,I'm sure you're very busy.
Tenho certeza de que vocês estão muito ocupadas.,I'm sure you're very busy.
Eu tenho certeza de que está muito ocupada.,I'm sure you're very busy.
Eu tenho certeza de que estão muito ocupadas.,I'm sure you're very busy.
Mary é uma mulher muito ocupada.,Mary is a very busy woman.
Mary é uma mulher muito atarefada.,Mary is a very busy woman.
"Lamento, mas eu estive um pouco ocupada.","Sorry, but I've been a little busy."
'Estive ocupado''. ''Ocupado fazendo o quê?'',"I've been busy. ""Busy doing what?"""
Tom está ocupado fazendo o café da manhã para a familia.,Tom is busy making breakfast for the family.
"Se não estiver ocupado, você poderia, por favor, me ajudar?","If you're not busy, could you please help me?"
Tom e Mary estão ocupados planejando o casamento.,Tom and Mary are busy planning their wedding.
Tom está ocupado fazendo sanduíches na cozinha.,Tom is busy making sandwiches in the kitchen.
Disse a Tom que eu estava ocupado demais para conversar com ele.,I told Tom that I was way too busy to talk to him.
Você estava ocupado demais se divertindo para notar o que estava acontecendo.,You were too busy having fun to notice what was happening.
Tom estava ocupado demais se preocupando com Mary para se preocupar com si mesmo.,Tom was too busy worrying about Mary to worry about himself.
Acho que eu estava ocupado demais para notar que Tom estava tendo problemas.,I guess I was too busy to notice that Tom was having problems.
"Tom, se não estiver ocupado demais, poderia vir ao meu escritório por um minuto?","Tom, if you're not too busy, could you come to my office for a minute?"
Tom e Mary têm estado ocupado demais brigando para notar o quanto eles realmente se gostam.,Tom and Mary have been too busy fighting to notice how much they actually like each other.
Preciso ir dormir.,I need to go to sleep.
Ele deu leite ao gato.,He gave the cat milk.
Ele deu leite para o gato.,He gave the cat milk.
Você está falando com você mesmo e sobre você mesmo. Isso se chama ''projeção''.,"You're talking to yourself and about yourself. It's called ""projection."""
Você é louco.,You're crazy.
As escolas devem dar mais atenção para o aprendizado de idiomas e literatura.,Schools must pay more attention to language learning and to literature.
O céu logo se abrirá.,The sky will soon clear.
Você precisa tomar muito cuidado com isto.,You must be very careful with this.
Brinquemos todos juntos.,Let's all play together.
Eu gosto de tocar blues.,I enjoy playing the blues.
Eu pensei que você queria jogar.,I thought you wanted to play.
Por que você não vai brincar com o Tom?,Why don't you go play with Tom?
Por que você não vai jogar com o Tom?,Why don't you go play with Tom?
Nós brincávamos juntos todos os dias quando éramos crianças.,We played together every day when we were kids.
Por que Tom está se escondendo?,Why is Tom hiding?
"Se você precisar de alguma ajuda, me fale.","If you need any help, let me know."
Quero muito ser um bom professor.,I really want to be a good teacher.
Você estará no meu coração hoje e sempre.,You'll be in my heart today and always.
Essa frase é típica de um derrotado.,This is a typical loser's sentence.
"Há pessoas que não conseguem ver uma pérola mesmo quando ela diz ""sou uma pérola, sou uma pérola"".","There are people who cannot see a pearl even when it says ""I am a pearl, I'm a pearl."""
Muito obrigado por suas dicas.,Thank you very much for your tips!
Não pude controlar minha raiva.,I could not control my anger.
Eu tenho três exames no fim do ano.,I have three exams at the end of the year.
Eu levei quase duas horas para escrever a redação.,It took me nearly two hours to write the essay.
O que é esse ruído de fundo que eu estou ouvindo?,What's that noise I can hear in the background?
O que ele está fazendo aí?,What's he doing there?
O que ele está fazendo ali?,What's he doing there?
O que ele está fazendo lá?,What's he doing there?
Eu ouvia o rádio enquanto trabalhava.,I listened to the radio while I worked.
Todos os livros na estante foram lidos.,All of the books on the bookshelf have been read.
Você é ótimo em guardar segredos.,You're awful at keeping secrets.
Eu gostaria de ficar sozinho.,I would like to be alone.
Eu gostaria de ajudá-las.,I would like to help you.
Eu perdi a noção do tempo.,I've lost notion of time.
Eu acho que deveríamos ir embora.,I think we should leave.
Proibido fumar.,No smoking.
Você acha que eu sou bobo?,Do you think I'm silly?
"Entendeu? ""Não, nadica de nada.""","Got it? ""No, not at all."""
"Você entendeu? ""Sim tudo.""","Did you understand? ""Yes, everything."""
Agora eu entendi.,Now I understand.
"Eu poderia escutar essa música o dia todo, que não me cansaria.","I could listen to this song all day, and I wouldn't get tired of it."
Eu tenho o dia todo.,I have the whole day free.
Tenho olhos castanhos e cabelo preto.,I have brown eyes and black hair.
"O seu carro, a placa começa com ABC?",Does the license plate of your car begin with ABC?
A professora disse que não sabe a resposta para a pergunta que eu fiz.,The teacher said that he didn't know the answer to my question.
O professor disse que não sabe a resposta para a pergunta que eu fiz.,The teacher said that he didn't know the answer to my question.
"Não sei sobre João, mas Maria perdeu seu pai quando ela era jovem.","I don't know about João, but Maria lost her father when she was young."
"A Maria, eu gosto dela, mas ela é muito ingênua.","I like Maria, but she's very naïve."
"Eu gosto de Maria, mas ela é muito ingênua.","I like Maria, but she's very naïve."
"Gosto de Maria, mas ela é muito ingênua.","I like Maria, but she's very naïve."
"A Isabela, dizem que ela morreu.",They say that Isabela died.
Dizem que Isabela morreu.,They say that Isabela died.
"Por favor, me adicione no Facebook.",Please add me on Facebook.
"Me vê um pastel, por favor.","I'd like a turnover, please."
"Me vê um pastel, por favor.",Could you give me a turnover please?
Você não entende.,You do not understand.
Você acha que eu estou louco?,Do you think that I'm insane?
Você acha que sou louco?,Do you think that I'm insane?
Você pensa que estou louco?,Do you think that I'm insane?
"Entendeu? ""Quase.""","Did you understand? ""More or less."""
"O meu pai, eu aprendo muito com ele.",I learn a lot from my father.
Aprendi muito com meu pai.,I learn a lot from my father.
Aprendo bastante com meu pai.,I learn a lot from my father.
"O teu carro, a cor dele é preta?",Is your car black?
Teu carro é preto?,Is your car black?
Seu carro é preto?,Is your car black?
Eu quero falar com você.,I want to speak with you.
Você memorizou o número dele?,Have you memorized his number?
Moncalvo é a menor cidade italiana.,Moncalvo is the smallest Italian city.
Você está se dando bem com seus novos colegas da escola?,Are you getting along well with your new schoolmates?
"Eu gostou muito das montanhas aqui de roda, venho muito para as férias.","I like the mountains around here a lot, and come often for vacation."
Ninguém tem um cachorro mais verdadeiro que o meu.,No-one has a dog truer than mine.
Ninguém tem um cachorro mais verdadeiro do que o meu.,No-one has a dog truer than mine.
Numerologia é como esquizofrenia.,Numerology is like schizophrenia.
Estou cansado de escutar suas reclamações.,I'm tired of listening to your complaints.
"Ele se salvou, de alguma maneira.",He saved himself somehow.
"De algum modo, ele se salvou.","Somehow, he saved himself."
Que hora é a sua aula amanhã?,What time's your class tomorrow?
Havia um senso de medo.,There was a sense of fear.
Ela escreve também sobre perdas e traumas.,She also writes about loss and trauma.
O personagem principal é um personagem jovem.,The main character is a young character.
Balançe sua cabeça se entender.,Nod your head if you understand.
Você não aprendeu a respeitar os outros?,Have you not learned to respect others?
Você já tentou não ser rude com as pessoas?,Have you ever tried not being rude to people?
"Quando estiver muito quente, você deve tomar muita água para evitar desidratação.","When it's very hot, you should drink lots of water to avoid dehydration."
"Quando eu vi que uma pintura estava faltando, eu fechei o museu imediatamente.","When I saw that a painting was missing, I had the museum closed immediately."
Estou na busca do idioma perdido.,I am in search of the lost language.
A casa pertence a ele.,The house belongs to him.
Eu quero fingir ser um ator.,I wish to pretend to be an actor.
Aprendi a digitar aos nove anos.,I learned to type at the age of nine.
Descendo a rua. eu corri para um velho amigo.,"Walking down the street, I ran into an old friend."
O táxi atrasado chegou.,The taxi arrived late.
O táxi atrasado chegou.,The cab arrived late.
O táxi chegou tarde.,The cab arrived late.
O táxi chegou atrasado.,The cab arrived late.
Levava uma vida de princesa.,She led the life of a princess.
Ela teve uma vida de princesa.,She led the life of a princess.
Eu tenho apenas a mim mesmo para culpar.,"I have only myself to blame, I suppose."
Você se lembra disto?,Do you remember this?
Ele está jogando Banco Imobiliário.,He's playing Monopoly.
Nossa aula de hoje começará às 15h.,Our class today will begin at 3 p.m.
"Desde quando eu parei de fumar, me sinto muito melhor.","Since having given up smoking, I feel much better."
"Você sabia que Julia viveu dez anos em Moscou? Por essa razão, ela fala russo tão bem.",Did you know that Julia lived 10 years in Moscow? That's why she speaks Russian so well.
Você sabia que Julia morou 10 anos em Moscou? Por isso fala russo tão bem.,Did you know that Julia lived 10 years in Moscow? That's why she speaks Russian so well.
Desde quando você não vê sua família?,How long has it been since you've seen your family?
O pai dela é vivo?,Is her father alive?
O pai dela está vivo?,Is her father alive?
Alguém visitou ela ontem.,Someone visited her yesterday.
Por que ele parou de falar sobre o exército?,Why has he stopped talking about the army?
Por que ele parou de falar sobre o exército?,Why did he stop talking about the army?
O Tom se preocupa com a sua saúde.,Tom cares about his health.
Você está completamente saudável.,You're completely healthy.
Os meus pais se preocupam com a minha saúde.,My parents worry about my health.
Você deveria estar comendo coisas mais saudáveis.,You should be eating healthier food.
"Pelo que eu sei, o meu estado de saúde é perfeito.","As far as I know, I'm in perfect health."
Pare de ficar mostrando seu iPhone.,Stop showing off your iPhone.
Ela sonhou ser uma princesa.,She dreamed of being a princess.
Ela sonhou ser uma princesa.,She dreamt of being a princess.
Ele sonhou ser um herói.,He dreamed of being a hero.
Eu recebi uma carta da minha irmã.,I received a letter from my sister.
Eu recebi uma carta do meu irmão.,I received a letter from my brother.
"Ele trabalha como professor, mas na verdade é um vampiro.","He works as a teacher, but actually he's a vampire."
Ela é mesmo tão bonita assim?,Is she really that pretty?
Você não parece bem.,You don't look well.
Eu só quero o melhor para você.,I only want what's best for you.
Já era tarde demais.,It was already too late.
Você sabe dançar?,Do you know how to dance?
Vocês sabem dançar?,Do you know how to dance?
Eu aprendi um novo truque.,I learned a new trick.
Eu nunca aprendi a nadar.,I never learned to swim.
Nós aprendemos com nossos erros.,We learn from our mistakes.
O que você aprendeu até aqui?,What have you learned so far?
Fazer pizza é algo que aprendi com o Tom.,Making pizza is something I learned from Tom.
As efêmeras são efêmeras. Quando adultas elas não vivem mais do que um dia. Às vezes é um dia chuvoso.,Mayflies are ephemeral. As adults they live but a day. Sometimes it's a rainy day.
Espero ter a chance de lhe retribuir o favor que você fez para mim.,I hope I get a chance to return the favor you've done me.
Estou no meio de algo. Você poderia voltar mais tarde?,I'm in the middle of something. Could you come back later?
"Eu gostaria de dizer algo apropriado, mas não tenho certeza do que deveria dizer.","I'd like to say something appropriate, but I'm not sure what I should say."
Você não está esquecendo de algo?,Aren't you forgetting something?
Perdeu algo?,Did you lose something?
O Tom roubou alguma coisa de minha casa.,Tom stole something from my house.
Meu nome não é ''você''; é Ricardo.,"My name is not ""you""; it's Ricardo."
Gostaria de sentar?,Would you like to sit?
Tom está procurando alguma coisa.,Tom is looking for something.
O Tom encontrou algo de valor.,Tom has found something valuable.
Algo deve estar errado.,Something must be wrong.
Estou procurando uma coisa.,I'm looking for something.
Você não vai dizer algo?,Aren't you going to say something?
Poderiam fazer algo para mim?,Could you do something for me?
Poderia fazer algo para mim?,Could you do something for me?
"A ele, falta-lhe prática.",What he needs is practice.
Eu aprendo tanto com você.,I learn as much as you do.
A senhora sabe a quem pertence esse carro?,Does the lady know who this car belongs to?
O senhor sabe a quem pertence esse carro?,Does the gentleman know whose car this is?
Você sabe a quem pertence esse carro?,Do you know whose is this car here?
Quem é Emily?,Who is Emily?
Isso é novidade.,This is something new.
Isso é algo novo.,This is something new.
Tem algo que você precise?,Is there something you need?
Nós temos que contar algo para eles.,We have to tell them something.
"Alguma coisa poderia cair em você, então seja cuidadoso.","Something might fall on you, so be careful."
Vou fazer alguma coisa sozinho por um tempo.,I'm going to do something by myself for a while.
"Eu não sei o que é, mas é algo muito grande.","I don't know what it is, but it's something very big."
"O Tom disse algo, mas eu não pude ouvir o que ele disse.","Tom said something, but I couldn't hear what he said."
É melhor eu fazer algo antes que o problema fique pior.,I'd better do something before the problem gets any worse.
O Tom estava prestes a dizer alguma coisa quando Mary entrou na sala.,Tom was just about to say something when Mary walked into the room.
"Nós estávamos conversando sobre algo aquela vez, mas não lembro o quê.","We were talking about something at that time, but I don't remember what."
Ninguém de nós é imortal.,No one of us is immortal.
Quem pode ajudar você a aprender alemão?,Who can help you learn German?
"Eu entendo isso, mas ainda não concordo com isso.","I understand it, but I still don't agree with it."
Quando você chegou lá?,When did you get there?
Meu cachorro está sonhando com um gato.,My dog is dreaming of a cat.
Eles nunca aprendem.,They never learn!
A ajuda dela veio no momento exato.,Her help came at just the right moment.
Casei com 19 anos.,I got married when I was 19 years old.
Eu casei quando tinha 19 anos.,I got married when I was 19 years old.
Estou bravo.,I'm crazy.
Vocês deveriam encarar a realidade.,You should face the reality.
"Se você morre, todos morrem.","If you die, everyone dies."
Faço tudo por minha família.,I do everything for my family.
Eu faço bem o meu trabalho.,I do my job well.
Minha amada garota está longe de mim.,My beloved girl is far away from me.
Só me dê mais uma chance.,Just give me one more chance.
A Virgem Maria é a mãe de Jesus.,The Virgin Mary is Jesus' mother.
Ela é americana.,She is American.
Não acho que ele seja sincero.,I don't think he is sincere.
Vou tirar uma folga amanhã.,I am taking tomorrow off.
Sou um gato.,I'm a cat.
Eu tento não usar mais papel do que preciso.,I try not to use more paper than I need.
Vocês são realmente generosos.,You are both really kind.
"Se eu soubesse que isso o deixaria tão nervoso, não o teria mencionado.","If I knew it was going to upset you so much, I wouldn't have mentioned it."
"Se eu soubesse que isso a deixaria tão nervosa, não o teria mencionado.","If I knew it was going to upset you so much, I wouldn't have mentioned it."
A linguagem da amizade não são palavras mas significados.,The language of friendship is not words but meanings.
"O celular tocou, mas ele voltou a dormir.","The cell phone rang, but he went back to sleep."
Nosso professor está de bom humor.,Our teacher is in a good mood.
Nossa professora está de bom humor.,Our teacher is in a good mood.
Por que você me eliminou da sua lista de amigos?,Why did you unfriend me?
Ele não bebeu vinho.,He didn't drink wine.
Aquele é o prédio onde meu pai trabalha.,That's the building where my dad works.
"Não se preocupe, você está segura.","Don't worry, you are safe."
"Não se preocupe, você está seguro.","Don't worry, you are safe."
Jamais te magoarei.,I will never hurt you.
Eu nunca vou te magoar.,I will never hurt you.
Nunca vou magoar vocês.,I will never hurt you.
É um clássico.,It's a classic.
Isso é um clássico.,It's a classic.
Você sabe que eu não gostava de você na sexta série.,You know I didn't like you in the 6th grade.
Eu adoro as nossas conversas.,I love our conversations.
Isso vale para muita gente.,This applies to many people.
Faz um tempinho que eu não faço isso.,I haven't done this for a while.
Você só precisa decidir.,All you have to do is decide.
Tudo que você tem que fazer é decidir.,All you have to do is decide.
Eu só quero dormir.,I just want to sleep.
Ele tem a mente poluída.,He's dirty minded.
Eles só estão com ciúmes da gente.,They're just jealous of you and me.
Faz um tempinho que eu não faço isso.,It's been a while since I've done this.
Você só precisa decidir.,You just need to decide.
Isso me fez lembrar de você.,This makes me remember you.
Você está aqui a negócios?,Are you here for business?
Obrigado por me lembrar!,Thanks for making me remember.
Eles só estão com ciúmes da gente.,They are just jealous of us.
Você sabe que eu não gostava de você na sexta série.,You know I didn't like you in sixth grade.
Algum dia o seu sonho também se tornará realidade.,"Some day your dream will come true, too."
Posso pegar esta caneta emprestada?,Can I borrow this pen?
Sinto-me como se pudesse sair voando.,I feel as if I could fly.
Ele não está com fome.,He isn't hungry.
Meu tio me deu esse relógio.,My uncle gave me this watch.
Esse relógio foi dado pelo meu tio.,My uncle gave me this watch.
Com o dinheiro que eu tenho dá para comprar.,I have enough money to buy it.
Faça seu cérebro trabalhar antes de falar!,Make your brain work before talking!
"Eu sei que você não virá a minha festa, mas eu queria que viesse.","I know you're not coming to my party, but I wish you were."
Minha irmã mais velha toma banho todo dia.,My older sister takes a shower every day.
"Qualquer dança parece bonita, se é dançada com o coração.","Any dance looks beautiful, if it's danced from the heart."
Essas são questões que importam.,These are questions that matter.
Ele está ocupado e não pode te encontrar.,He's busy and can't meet with you.
"Ele é um homem ocupado, então o único jeito de você contata-lo é por telefone.","He's a busy man, so the only way you can contact him is by telephone."
O Ken ainda não lavou o carro.,Ken still hasn't washed the car.
Só fale sobre a língua que você quer aprender. Por que você quer aprende-la?,Just talk about the language that you want learn. Why do you want to learn it?
Por que você quer aprender francês?,Why do you want to learn French?
Você quer parece com as pessoas que falam a língua quer você quer aprender?,You wish to look like the people who speak the language that you want to learn?
Você pensa que a língua que você quer aprender vai ser a ''língua do futuro''?,"You think that the language that you want to learn will be the ""language of the future""?"
Você acha que a língua que você quer aprender vai dominar o mundo inteiro?,You think that the language that you want to learn will take over the whole world?
Quantos meninos há nessa turma?,How many boys are in this class?
Há quantos meninos nessa classe?,How many boys are in this class?
Quando você pretende começar?,When do you intend to start?
Ela vive nessa vizinhança.,She lives in this neighborhood.
Ela mora nessa vizinhança.,She lives in this neighborhood.
Ela mora nesta vizinhança.,She lives in this neighborhood.
Ela vive nesta vizinhança.,She lives in this neighborhood.
Não faz diferença.,It makes no difference.
Isso acaba sendo a mesma coisa.,That comes to the same thing.
Quando você quer começar?,When do you mean to start?
Quando você planeja começar?,When do you plan to start?
Quando você planeja iniciar?,When do you plan to start?
Quando planeja começar?,When do you plan to start?
Quando gostaria de começar?,When would you like to begin?
Quando você gostaria de começar?,When would you like to begin?
Cicatrizes não são o problema doutor. Eu não sou bonito faz muito tempo.,"Scars are no big deal, Doctor. I haven't been pretty for a very long time."
Você está entediado aqui?,Are you bored here?
Não entendo muito o que você quer dizer.,I do not quite understand what you mean.
Não entendo muito o que vocês querem dizer.,I do not quite understand what you mean.
Há muitas árvores altas e diferentes tipos de grama na mata.,There are many tall trees and different kinds of grass in the jungle.
Nós deveríamos dar flores para ele.,We should give him flowers.
Deveríamos dar a ela flores.,We should give her flowers.
Deveríamos dar flores para ela.,We should give her flowers.
Dê dinheiro para eles.,Give them money.
Dê dinheiro a eles.,Give them money.
Eu não entendi.,I did not understand.
Não entendi.,I did not understand.
"Eu, geralmente, não saio de casa para querer ver outras pessoas.",I don't generally go out of the house to want to see other people.
Todo novo idioma é como um jogo.,Every new language is like a game.
Vamos começar.,We're going to begin.
Nós vamos começar.,We're going to begin.
Ele tem estado no Havaí muitas vezes.,He has been to Hawaii several times.
Ele esteve no Havaí muitas vezes.,He has been to Hawaii several times.
Eu posso dizer quando alguem está mentindo.,I can tell when someone is lying.
Eu consigo dizer quando alguém está mentindo.,I can tell when someone is lying.
"Meus dedos pronunciam cada palavra, cada pausa e cada sotaque.","My fingers pronounce every word, every pause and every accent."
